"Sort","Field","Journal Name","2025-01-31","2025-01-24","2025-01-17","2025-01-10","2025-01-03","2024-12-27","2024-12-20","2024-12-13","2024-12-06","2024-11-29","2024-11-22","2024-11-15","2024-11-08","2024-11-01","2024-10-25","2024-10-18","2024-10-11","2024-10-04","2024-09-27","2024-09-20","2024-09-13","2024-09-06","2024-08-30","2024-08-23"
75,"Communication Studies","Communication Methods and Measures",0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,,,,,,,,,
76,"Communication Studies","Communication Research",1,0,1,0,0,0,0,2,0,0,0,1,0,1,4,,,,,,,,,
77,"Communication Studies","Digital Journalism",4,2,3,4,0,0,0,0,1,0,2,1,0,0,2,,,,,,,,,
78,"Communication Studies","Human Communication Research",0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,,,,,,,,,
79,"Communication Studies","Information, Communication & Society",5,4,2,1,3,6,0,3,4,5,5,2,4,6,1,,,,,,,,,
80,"Communication Studies","Internet Policy Review",0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,,,,,,,,,
81,"Communication Studies","Journal of Communication",1,1,0,4,2,0,2,1,0,2,2,1,2,0,1,,,,,,,,,
82,"Communication Studies","Media, Culture & Society",3,0,4,2,0,2,0,0,1,0,1,1,0,1,1,,,,,,,,,
83,"Communication Studies","Political Communication",1,1,0,0,0,3,2,2,1,0,0,0,3,1,0,,,,,,,,,
84,"Communication Studies","Social Media + Society",5,3,1,0,0,2,9,3,5,4,3,4,3,7,1,,,,,,,,,
85,"Communication Studies","Telecommunications Policy",1,0,0,2,0,1,0,0,1,0,2,1,0,0,2,,,,,,,,,
,"","European Societies",0,0,0,23,,,,,,,,,,,,,,,,,,,,
